product_id,type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,target,failure_type,Temperature Difference,wear_torque_ratio,risk_level,equipment_age_years,maintenance_date
H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,10.299999999999955,3.130081300813008,Low Risk,13,2024-01-02 03:00:00
L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,10.299999999999955,1.855203619909502,Low Risk,2,2024-01-02 04:00:00
L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,10.399999999999977,2.7906976744186047,Low Risk,5,2024-01-02 05:00:00
M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,10.399999999999977,1.784232365145228,Low Risk,13,2024-01-02 06:00:00
L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,10.399999999999977,3.4901960784313726,Low Risk,6,2024-01-02 07:00:00
L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,10.399999999999977,1.884057971014493,Low Risk,10,2024-01-02 08:00:00
L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,10.400000000000034,2.8615384615384616,Low Risk,7,2024-01-02 09:00:00
M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,10.300000000000011,2.737752161383285,Low Risk,1,2024-01-02 10:00:00
M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,10.399999999999977,2.016460905349794,Low Risk,7,2024-01-02 11:00:00
M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,10.300000000000011,2.7520435967302452,Low Risk,12,2024-01-02 12:00:00
L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,10.300000000000011,2.6530612244897958,Low Risk,2,2024-01-02 13:00:00
H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,10.300000000000011,2.0907297830374754,Low Risk,12,2024-01-02 14:00:00
L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,10.300000000000011,2.1142857142857143,Low Risk,10,2024-01-02 15:00:00
L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,10.300000000000011,2.488986784140969,Low Risk,14,2024-01-02 16:00:00
L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,10.300000000000011,2.263779527559055,Low Risk,9,2024-01-02 17:00:00
M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,10.300000000000011,2.3828920570264764,Low Risk,7,2024-01-02 18:00:00
H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,10.399999999999977,2.4742268041237114,Low Risk,2,2024-01-02 19:00:00
M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,10.300000000000011,2.6315789473684212,Low Risk,1,2024-01-02 20:00:00
L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,10.300000000000011,2.6069246435845215,Low Risk,7,2024-01-02 21:00:00
M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,10.300000000000011,5.038759689922481,Low Risk,14,2024-01-02 22:00:00
L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,10.300000000000011,2.8725701943844495,Low Risk,4,2024-01-02 23:00:00
H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,10.399999999999977,2.504638218923933,Low Risk,11,2024-01-03 00:00:00
M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,10.300000000000011,3.1746031746031744,Low Risk,14,2024-01-03 01:00:00
L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,10.200000000000045,31.086956521739133,High Risk,10,2024-01-03 02:00:00
L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,10.200000000000045,2.6411657559198543,Low Risk,1,2024-01-03 03:00:00
H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,10.199999999999989,3.356164383561644,Low Risk,14,2024-01-03 04:00:00
L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,10.300000000000011,4.33048433048433,Low Risk,14,2024-01-03 05:00:00
L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,10.300000000000011,5.116279069767441,Low Risk,3,2024-01-03 06:00:00
L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,10.300000000000011,3.8329238329238327,Low Risk,14,2024-01-03 07:00:00
L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,10.300000000000011,3.7264150943396226,Low Risk,9,2024-01-03 08:00:00
L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,10.300000000000011,3.970223325062035,Low Risk,3,2024-01-03 09:00:00
M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,10.199999999999989,5.491525423728813,Low Risk,1,2024-01-03 10:00:00
L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,10.300000000000011,3.0330882352941178,Low Risk,7,2024-01-03 11:00:00
L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,10.300000000000011,3.1749049429657794,Low Risk,10,2024-01-03 12:00:00
M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,10.199999999999989,4.424083769633508,Low Risk,11,2024-01-03 13:00:00
L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,10.199999999999989,7.510917030567686,Low Risk,13,2024-01-03 14:00:00
M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,10.100000000000023,6.718146718146719,Low Risk,2,2024-01-03 15:00:00
L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,10.100000000000023,4.585492227979274,Low Risk,14,2024-01-03 16:00:00
L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,10.100000000000023,3.9689578713968956,Low Risk,10,2024-01-03 17:00:00
M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,10.0,6.306620209059234,Low Risk,6,2024-01-03 18:00:00
H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,10.099999999999966,4.172335600907029,Low Risk,8,2024-01-03 19:00:00
L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,10.099999999999966,5.833333333333334,Low Risk,3,2024-01-03 20:00:00
L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,10.100000000000023,2.907153729071537,High Risk,13,2024-01-03 21:00:00
M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,10.100000000000023,8.539823008849558,Low Risk,8,2024-01-03 22:00:00
L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,10.200000000000045,4.3076923076923075,Low Risk,1,2024-01-03 23:00:00
L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,10.200000000000045,4.45945945945946,Low Risk,2,2024-01-04 00:00:00
L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,10.100000000000023,5.714285714285714,Low Risk,7,2024-01-04 01:00:00
L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,10.100000000000023,6.253869969040248,Low Risk,1,2024-01-04 02:00:00
L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,10.099999999999966,4.36830835117773,Low Risk,5,2024-01-04 03:00:00
L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,10.099999999999966,4.30062630480167,Low Risk,3,2024-01-04 04:00:00
L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,10.099999999999966,5.036319612590799,High Risk,7,2024-01-04 05:00:00
L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,10.099999999999966,0.0,Low Risk,12,2024-01-04 06:00:00
L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,10.099999999999966,0.052770448548812667,Low Risk,9,2024-01-04 07:00:00
H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,10.0,0.08016032064128256,Low Risk,5,2024-01-04 08:00:00
L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,10.0,0.18947368421052632,Low Risk,1,2024-01-04 09:00:00
L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,10.0,0.26960784313725494,Low Risk,4,2024-01-04 10:00:00
L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,10.0,0.32418952618453867,Low Risk,7,2024-01-04 11:00:00
L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,10.0,0.31512605042016806,Low Risk,9,2024-01-04 12:00:00
M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,10.0,0.6343283582089552,Low Risk,7,2024-01-04 13:00:00
H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,10.0,0.45558086560364464,Low Risk,4,2024-01-04 14:00:00
L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,10.0,0.7861635220125786,Low Risk,2,2024-01-04 15:00:00
M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,10.0,0.5973451327433628,Low Risk,5,2024-01-04 16:00:00
M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,10.0,0.759493670886076,Low Risk,9,2024-01-04 17:00:00
L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,10.0,1.2790697674418605,Low Risk,8,2024-01-04 18:00:00
L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,10.0,1.4056224899598395,Low Risk,7,2024-01-04 19:00:00
M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,10.0,1.3653136531365313,Low Risk,11,2024-01-04 20:00:00
L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,9.899999999999977,0.9302325581395349,Low Risk,8,2024-01-04 21:00:00
L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,9.899999999999977,1.316614420062696,Low Risk,14,2024-01-04 22:00:00
M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,10.0,0.842911877394636,Low Risk,3,2024-01-04 23:00:00
M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,10.0,1.331444759206799,Low Risk,2,2024-01-05 00:00:00
M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,10.0,1.6722408026755853,Low Risk,1,2024-01-05 01:00:00
L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,9.900000000000034,1.620795107033639,Low Risk,7,2024-01-05 02:00:00
L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,10.0,1.2387387387387387,Low Risk,1,2024-01-05 03:00:00
L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,10.099999999999966,2.28,Low Risk,14,2024-01-05 04:00:00
L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,10.0,2.85024154589372,Low Risk,6,2024-01-05 05:00:00
L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,10.0,1.5024630541871922,Low Risk,14,2024-01-05 06:00:00
M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,10.0,1.5555555555555556,Low Risk,14,2024-01-05 07:00:00
L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,9.899999999999977,1.5207373271889402,Low Risk,9,2024-01-05 08:00:00
L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,9.899999999999977,2.1864951768488745,Low Risk,1,2024-01-05 09:00:00
L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,9.899999999999977,1.443298969072165,Low Risk,6,2024-01-05 10:00:00
M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,10.0,1.5384615384615385,Low Risk,3,2024-01-05 11:00:00
H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,9.900000000000034,2.293577981651376,Low Risk,9,2024-01-05 12:00:00
L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,9.800000000000011,2.3460410557184748,Low Risk,8,2024-01-05 13:00:00
L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,9.800000000000011,3.6444444444444444,Low Risk,1,2024-01-05 14:00:00
H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,9.900000000000034,1.9310344827586208,Low Risk,3,2024-01-05 15:00:00
M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,9.899999999999977,2.2531645569620253,Low Risk,1,2024-01-05 16:00:00
M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,9.800000000000011,2.1957040572792366,Low Risk,1,2024-01-05 17:00:00
L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,9.800000000000011,3.231292517006803,Low Risk,12,2024-01-05 18:00:00
L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,9.800000000000011,2.12253829321663,Low Risk,4,2024-01-05 19:00:00
L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,9.800000000000011,2.903225806451613,Low Risk,14,2024-01-05 20:00:00
L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,9.800000000000011,3.0606060606060606,Low Risk,13,2024-01-05 21:00:00
M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,9.800000000000011,3.6654804270462633,Low Risk,3,2024-01-05 22:00:00
L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,9.800000000000011,2.6044226044226044,Low Risk,10,2024-01-05 23:00:00
L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,9.800000000000011,2.4161073825503356,Low Risk,11,2024-01-06 00:00:00
L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,9.800000000000011,2.669902912621359,Low Risk,5,2024-01-06 01:00:00
L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,9.800000000000011,2.2090729783037473,Low Risk,9,2024-01-06 02:00:00
L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,9.800000000000011,2.6267281105990783,Low Risk,13,2024-01-06 03:00:00
L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,9.800000000000011,3.9455782312925174,Low Risk,2,2024-01-06 04:00:00
L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,9.700000000000045,3.664596273291925,Low Risk,11,2024-01-06 05:00:00
L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,9.600000000000023,1.9834710743801653,Low Risk,10,2024-01-06 06:00:00
L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,9.700000000000045,2.6236559139784945,Low Risk,10,2024-01-06 07:00:00
L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,9.600000000000023,3.2124352331606216,Low Risk,13,2024-01-06 08:00:00
L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,9.600000000000023,3.6734693877551026,Low Risk,7,2024-01-06 09:00:00
L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,9.599999999999966,3.114355231143552,Low Risk,4,2024-01-06 10:00:00
L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,9.599999999999966,4.693140794223827,Low Risk,5,2024-01-06 11:00:00
M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,9.699999999999989,3.0555555555555554,Low Risk,4,2024-01-06 12:00:00
M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,9.699999999999989,2.721774193548387,Low Risk,4,2024-01-06 13:00:00
L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,9.599999999999966,2.6037735849056602,Low Risk,8,2024-01-06 14:00:00
M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,9.699999999999989,4.912280701754386,Low Risk,9,2024-01-06 15:00:00
H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,9.800000000000011,3.1291028446389495,Low Risk,7,2024-01-06 16:00:00
L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,9.900000000000034,2.6763110307414104,Low Risk,9,2024-01-06 17:00:00
H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,9.800000000000011,3.0364372469635628,Low Risk,7,2024-01-06 18:00:00
L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,9.800000000000011,2.777777777777778,Low Risk,7,2024-01-06 19:00:00
L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,9.800000000000011,4.349030470914127,Low Risk,9,2024-01-06 20:00:00
L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,9.800000000000011,4.517045454545454,Low Risk,2,2024-01-06 21:00:00
M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,9.799999999999955,5.709219858156029,Low Risk,5,2024-01-06 22:00:00
H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,9.799999999999955,3.2475247524752477,Low Risk,1,2024-01-06 23:00:00
M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,9.799999999999955,3.9858490566037736,Low Risk,1,2024-01-07 00:00:00
L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,9.899999999999977,5.119047619047619,Low Risk,13,2024-01-07 01:00:00
H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,9.899999999999977,4.81994459833795,Low Risk,4,2024-01-07 02:00:00
L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,10.0,4.4638403990024935,Low Risk,10,2024-01-07 03:00:00
M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,10.0,3.7708333333333335,Low Risk,4,2024-01-07 04:00:00
L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,9.900000000000034,4.611528822055138,Low Risk,3,2024-01-07 05:00:00
L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,9.900000000000034,4.355971896955503,Low Risk,5,2024-01-07 06:00:00
M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,9.800000000000011,5.0,Low Risk,12,2024-01-07 07:00:00
M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,9.800000000000011,4.658536585365853,Low Risk,9,2024-01-07 08:00:00
L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,9.800000000000011,7.185185185185185,Low Risk,7,2024-01-07 09:00:00
L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,9.800000000000011,5.414364640883978,Low Risk,5,2024-01-07 10:00:00
H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,9.800000000000011,10.0,Low Risk,12,2024-01-07 11:00:00
M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,9.700000000000045,4.413043478260869,Low Risk,5,2024-01-07 12:00:00
H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,9.800000000000011,4.735632183908046,Low Risk,2,2024-01-07 13:00:00
M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,9.800000000000011,5.275,Low Risk,9,2024-01-07 14:00:00
L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,9.800000000000011,4.553191489361702,Low Risk,13,2024-01-07 15:00:00
L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,9.800000000000011,3.558484349258649,High Risk,6,2024-01-07 16:00:00
L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,9.800000000000011,4.168260038240918,High Risk,13,2024-01-07 17:00:00
L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,9.800000000000011,0.0,Low Risk,14,2024-01-07 18:00:00
M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,9.800000000000011,0.04566210045662101,Low Risk,5,2024-01-07 19:00:00
M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,9.800000000000011,0.1146788990825688,Low Risk,14,2024-01-07 20:00:00
L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,9.899999999999977,0.3076923076923077,Low Risk,1,2024-01-07 21:00:00
H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,9.800000000000011,0.3067484662576687,Low Risk,4,2024-01-07 22:00:00
H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,9.900000000000034,0.34965034965034963,Low Risk,13,2024-01-07 23:00:00
L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,9.900000000000034,0.32102728731942215,High Risk,1,2024-01-08 00:00:00
L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,9.900000000000034,0.3722504230118443,Low Risk,1,2024-01-08 01:00:00
M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,9.800000000000011,0.6857142857142857,Low Risk,7,2024-01-08 02:00:00
L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,9.900000000000034,0.531496062992126,Low Risk,4,2024-01-08 03:00:00
M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,9.899999999999977,1.3942307692307692,Low Risk,8,2024-01-08 04:00:00
M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,9.800000000000011,0.9495548961424332,Low Risk,5,2024-01-08 05:00:00
L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,9.900000000000034,0.6003430531732419,Low Risk,5,2024-01-08 06:00:00
L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,9.900000000000034,0.8505747126436781,Low Risk,9,2024-01-08 07:00:00
L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,9.900000000000034,1.1239193083573487,Low Risk,10,2024-01-08 08:00:00
L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,10.0,1.9158878504672898,Low Risk,12,2024-01-08 09:00:00
L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,10.0,0.8565737051792828,Low Risk,13,2024-01-08 10:00:00
L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,10.100000000000023,0.9036144578313253,Low Risk,14,2024-01-08 11:00:00
L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,10.100000000000023,0.9418837675350702,Low Risk,9,2024-01-08 12:00:00
H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,10.100000000000023,2.024793388429752,Low Risk,5,2024-01-08 13:00:00
M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,10.099999999999966,1.1226611226611227,Low Risk,6,2024-01-08 14:00:00
L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,10.099999999999966,1.4004914004914004,Low Risk,6,2024-01-08 15:00:00
L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,10.0,1.9281045751633985,Low Risk,6,2024-01-08 16:00:00
L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,10.0,1.5968586387434553,Low Risk,1,2024-01-08 17:00:00
L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,10.199999999999989,1.125,Low Risk,8,2024-01-08 18:00:00
L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,10.199999999999989,1.5081206496519721,Low Risk,5,2024-01-08 19:00:00
L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,10.199999999999989,1.994047619047619,Low Risk,14,2024-01-08 20:00:00
M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,10.099999999999966,1.5898617511520738,Low Risk,1,2024-01-08 21:00:00
L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,10.199999999999989,1.4428857715430863,Low Risk,11,2024-01-08 22:00:00
L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,10.199999999999989,2.138728323699422,Low Risk,7,2024-01-08 23:00:00
H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,10.199999999999989,1.4671814671814674,Low Risk,12,2024-01-09 00:00:00
H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,10.199999999999989,2.3410404624277454,Low Risk,4,2024-01-09 01:00:00
M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,10.300000000000011,8.037383177570094,High Risk,3,2024-01-09 02:00:00
L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,10.199999999999989,2.0745920745920747,Low Risk,2,2024-01-09 03:00:00
H29610,H,298.3,308.6,1432,49.5,91,0,No Failure,10.300000000000011,1.8383838383838385,Low Risk,9,2024-01-09 04:00:00
M15057,M,298.4,308.6,1527,40.9,96,0,No Failure,10.200000000000045,2.34718826405868,Low Risk,11,2024-01-09 05:00:00
L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,10.300000000000011,2.8285714285714287,Low Risk,10,2024-01-09 06:00:00
L47379,L,298.4,308.6,1433,47.1,101,0,No Failure,10.200000000000045,2.1443736730360934,Low Risk,9,2024-01-09 07:00:00
L47380,L,298.4,308.6,1609,35.0,103,0,No Failure,10.200000000000045,2.942857142857143,Low Risk,2,2024-01-09 08:00:00
L47381,L,298.3,308.5,1575,41.2,105,0,No Failure,10.199999999999989,2.5485436893203883,Low Risk,7,2024-01-09 09:00:00
M15062,M,298.4,308.5,1636,35.7,107,0,No Failure,10.100000000000023,2.9971988795518203,Low Risk,5,2024-01-09 10:00:00
L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,10.100000000000023,2.9023746701846966,Low Risk,2,2024-01-09 11:00:00
L47384,L,298.4,308.5,1741,32.8,112,0,No Failure,10.100000000000023,3.414634146341464,Low Risk,13,2024-01-09 12:00:00
M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,10.100000000000023,2.150943396226415,Low Risk,8,2024-01-09 13:00:00
L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,10.199999999999989,3.314447592067989,Low Risk,4,2024-01-09 14:00:00
